S_vital,I_vital,R_vital
1048.621743885822,0.9861735698828815,0.0
1148.9095442533521,2.2415269982556567,0.6344388566371363
1149.368615784662,5.651168467934623,2.0374690791551124
1035.8862513466136,11.346974243324865,5.26864768959121
983.6432512550562,21.398627634449603,10.86806652187442
849.4540707442376,58.571896389700434,35.85611889060646
728.6850735652878,107.4311764538581,84.20547268233703
637.7861101039235,206.89249360136617,121.74869258961857
455.4708802417613,278.1918957333355,215.17827094169886
346.9547405386879,282.6772108849794,354.22446402870816
203.188725374045,324.1074872916797,509.65784782132374
141.37287701023098,245.7341777626127,539.7843261362761
125.47626634353679,143.17248728044063,606.1796807415302
103.29859092118244,144.84013657222638,776.9053611998401
86.69098681762688,96.97541742391502,692.2070577434909
71.99611937524384,65.42957413926834,944.0905163092318
74.74424608862903,40.884701181152025,906.5610268408977
66.05835369217851,33.30556078891287,950.3522214828841
73.14623287359908,28.0025636061848,831.8662734860584
62.45336490919108,17.700250939000238,1008.0173044636967
